               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.05543,            0.057677,            0.013084,             0.87095,              0.3944,             0.42708,             0.17969,            0.046772,            0.049176,           0.0091557,            0.008845,            0.008845,            0.008845
                  37,            0.051313,            0.057669,            0.011467,             0.70815,             0.22576,              0.1713,            0.072018,            0.061672,            0.083081,            0.021936,            0.008812,            0.008812,            0.008812
                  38,            0.054032,            0.054641,            0.011015,             0.88647,             0.41132,             0.46608,             0.19233,            0.047875,            0.057372,           0.0096071,            0.008779,            0.008779,            0.008779
                  39,            0.052215,            0.057267,            0.012154,             0.92523,             0.42454,             0.50386,             0.26605,            0.038956,            0.048481,           0.0089456,            0.008746,            0.008746,            0.008746
                  40,            0.048569,            0.057247,            0.011815,             0.66344,             0.26208,             0.14336,            0.056565,            0.064857,             0.10235,            0.025958,            0.008713,            0.008713,            0.008713
                  41,            0.049248,            0.056244,            0.011755,             0.91774,              0.4509,             0.50341,              0.2704,            0.039228,             0.04812,           0.0086145,             0.00868,             0.00868,             0.00868
                  42,            0.049081,            0.055764,            0.012094,             0.84529,             0.34992,             0.36616,             0.13457,            0.056078,            0.057112,            0.010008,            0.008647,            0.008647,            0.008647
                  43,            0.049581,            0.057859,            0.011778,             0.90549,             0.41653,             0.48652,             0.24828,            0.040647,            0.044916,            0.008875,            0.008614,            0.008614,            0.008614
                  44,            0.050868,            0.055963,            0.010698,             0.91895,             0.40561,              0.5856,             0.31138,            0.040215,            0.050632,           0.0093888,            0.008581,            0.008581,            0.008581
                  45,            0.049024,            0.057183,            0.012866,             0.93066,              0.4513,             0.59302,             0.32852,            0.039236,            0.046085,           0.0087848,            0.008548,            0.008548,            0.008548
                  46,            0.049954,            0.053066,            0.011462,             0.79229,             0.29616,             0.31613,             0.14853,            0.048423,            0.064259,            0.012264,            0.008515,            0.008515,            0.008515
                  47,            0.047488,            0.055168,            0.010744,             0.94489,             0.45149,             0.61152,             0.35593,            0.036776,            0.046212,           0.0080678,            0.008482,            0.008482,            0.008482
                  48,            0.048926,            0.052405,            0.011925,             0.92369,             0.44699,             0.58461,             0.26126,            0.040114,             0.05381,           0.0095071,            0.008449,            0.008449,            0.008449
                  49,            0.044649,            0.053141,            0.011418,             0.93367,             0.45178,             0.61849,             0.35667,            0.036591,            0.044447,           0.0082208,            0.008416,            0.008416,            0.008416
                  50,            0.048655,            0.053887,            0.011986,             0.91622,             0.43471,              0.5523,              0.2607,            0.041868,            0.046044,           0.0082341,            0.008383,            0.008383,            0.008383
                  51,            0.044643,            0.051759,            0.010819,             0.94594,             0.44848,             0.58472,                0.33,            0.036953,            0.043009,           0.0079606,             0.00835,             0.00835,             0.00835
                  52,            0.045615,            0.053249,            0.010636,             0.92765,             0.45849,             0.65492,             0.39109,            0.036289,            0.043094,           0.0081799,            0.008317,            0.008317,            0.008317
                  53,            0.043529,            0.051113,            0.011728,             0.93864,             0.45212,             0.55975,             0.31777,            0.034763,            0.043353,           0.0084904,            0.008284,            0.008284,            0.008284
                  54,            0.047759,            0.050462,            0.010708,             0.91024,             0.44655,             0.54799,             0.25932,            0.038999,            0.047871,           0.0089282,            0.008251,            0.008251,            0.008251
                  55,            0.044332,            0.049768,            0.010167,             0.93139,             0.43324,             0.56679,             0.28341,            0.040115,            0.042883,           0.0089477,            0.008218,            0.008218,            0.008218
                  56,            0.046627,            0.051076,            0.010923,             0.91044,             0.46221,             0.59752,             0.31161,            0.037078,            0.043719,           0.0084986,            0.008185,            0.008185,            0.008185
                  57,            0.043686,            0.053661,            0.011056,              0.9277,             0.46446,              0.6353,             0.35972,            0.034274,            0.046516,           0.0077821,            0.008152,            0.008152,            0.008152
                  58,            0.041697,            0.049758,            0.010564,             0.91211,             0.46862,             0.67659,              0.3666,            0.036317,            0.045401,           0.0085839,            0.008119,            0.008119,            0.008119
                  59,            0.043608,            0.052364,            0.010688,             0.92769,             0.44633,             0.55374,             0.29655,            0.036859,            0.044135,           0.0083563,            0.008086,            0.008086,            0.008086
                  60,            0.045631,            0.049572,            0.010748,             0.93977,             0.45066,             0.54797,              0.3081,            0.036406,             0.04199,           0.0081862,            0.008053,            0.008053,            0.008053
                  61,            0.041583,            0.053863,            0.010948,             0.93295,             0.46094,             0.63387,              0.3847,            0.032955,            0.044003,           0.0088409,             0.00802,             0.00802,             0.00802
                  62,            0.042057,            0.052897,            0.010439,             0.94446,             0.44503,             0.59142,             0.34954,             0.03513,            0.043314,           0.0083797,            0.007987,            0.007987,            0.007987
                  63,            0.040941,            0.050826,            0.010438,             0.92453,             0.43763,             0.57215,             0.29997,            0.037606,            0.045936,           0.0083021,            0.007954,            0.007954,            0.007954
                  64,             0.04326,            0.048331,            0.010489,             0.92899,             0.45501,             0.55531,             0.32741,            0.033567,            0.043845,           0.0078862,            0.007921,            0.007921,            0.007921
